,club,codeid,div,draws,english,gagainst,gscores,loss,netscore,plays,points,rank,team,wins,year
128,延边FC,YBFC,超,6,Yanbian FC,23,22,10,-1,24,305,9,吉林敖东,8,1997
129,广州太阳神,GZAPL,超,12,Guangzhou Apollo,24,21,8,-3,26,302.5,10,广州太阳神,6,1997
130,天津立飞,TJLF,超,9,Tianjin Lifei,34,24,11,-10,26,275,11,天津立飞三星,6,1997
131,湖北武汉雅琪职业,WHYQ,甲,8,Wuhan Yaqi,29,44,5,15,26,262.5,12,武汉雅琪,13,1997
132,松日电器广州,GZMSC,甲,7,Guangzhou Matsunichi,32,41,8,9,26,237.5,13,广州松日,11,1997
133,上海豫园,SHYY,甲,7,Shanghai Yuyuan,38,36,11,-2,28,225,14,上海豫园,10,1997
134,沈阳华晨金客,SYBJK,甲,8,Shenyang Brilliance Jinke,34,42,6,8,24,205,15,沈阳海狮,10,1997
135,辽宁FC,LNFC,甲,7,Liaoning FC,35,35,10,0,26,197.5,16,辽宁双星/辽宁天润,9,1997
136,深圳FC,SZPA,甲,7,Shenzhen FC,39,46,7,7,24,195,17,深圳平安,10,1997
137,河南建业,HAJY,甲,8,Henan Construction,23,25,7,2,24,185,18,河南黄金叶/赊店,9,1997
138,深圳金鹏,SZKP,甲,6,Shenzhen Kinspar,39,39,9,0,24,180,19,深圳金鹏,9,1997
139,广东宏远,GDHY,超,4,Guangdong Hongyuan,41,17,16,-24,24,175,20,广东宏远,4,1997
140,上海浦东新区FA,SHPD,甲,6,Shanghai Pudong FA,27,25,10,-2,24,172.5,21,上海浦东新区FA,8,1997
141,佛山FC,FSFST,甲,3,Foshan Fosti,37,30,12,-7,24,160,22,佛山佛斯弟,9,1997
142,天津万科,TJVK,甲,8,Tianjin Vanke,36,26,11,-10,24,125,23,天津万科,5,1997
143,成都FC,CDFC,乙,2,Chengdu FC,9,25,3,16,17,124.63,24,成都五牛,12,1997
144,江苏金陵石化加佳,JSJGG,乙,4,Jiangsu Jlspc Gige,9,25,2,16,17,119.71,25,江苏太湖水,11,1997
145,陕西国力,SNNP,乙,2,Shannxi National Power,10,43,2,33,17,114.46,26,西北航空国力,13,1997
146,长春亚泰,CCYT,乙,3,Changchun Yatai,14,32,5,18,19,98.81,27,长春亚泰,11,1997
147,重庆（重烟）红岩,CQHY,乙,4,Chongqing Hongyan,13,21,5,8,17,95.441,28,重庆红岩,8,1997
