,age,country,countryZh,loan,marketValue,mfClubId,mfClubName,miClubId,miClubName,playerId,playerMainPosition,playerName,premium,premiumRate,transferDate,transferFee,transferFeeValue,year
72,24,China,中国,,,1250.0,深圳FC,51.0,广州富力,1331,门将,程月磊,55万,-,2012-01-01,55万,550000.0,11
73,22,China,中国,,,1451.0,成都天诚,41.0,广州恒大,1238,中后卫,李建滨,45万,-,2012-01-01,45万,450000.0,11
74,24,China,中国,,,215.0,重庆力帆,1252.0,武汉卓尔,33392,右后卫,罗毅,,-,2012-01-01,,,11
75,26,China,中国,,,43.0,北京人和,48.0,河南建业,1241,右后卫,张可,0,-,2012-01-01,0,0.0,11
76,18,China,中国,,,,Unknown,48.0,河南建业,1243,,袁野,,-,2012-01-01,,,11
77,22,China,中国,,,52.0,大连一方,1254.0,新疆雪豹,33488,后腰,张天翔,,-,2012-01-01,,,11
78,26,Brazil,巴西,,,43.0,北京人和,835.0,仙台七夕,26295,中锋,威尔逊,,-,2012-01-01,,,11
79,24,China,中国,,,46.0,天津泰达,,SY Zhongze,19468,前腰,李星灿,15万,-,2012-01-01,15万,150000.0,11
80,22,China,中国,,,1451.0,成都天诚,51.0,广州富力,1345,右后卫,张远,0,-,2012-01-01,0,0.0,11
81,20,China,中国,,,,河南建业预备队,48.0,河南建业,1270,中后卫,毕津浩,,-,2012-01-01,,,11
82,22,China,中国,,,43.0,北京人和,54.0,上海申鑫,1457,中场,朱家伟,,-,2012-01-01,,,11
83,18,China,中国,,,,Unknown,48.0,河南建业,33494,门将,李亚楠,,-,2012-01-01,,,11
84,26,China,中国,,,46.0,天津泰达,42.0,北京国安,1055,后腰,张晓彬,12万,-,2012-01-01,12万,120000.0,11
85,26,China,中国,,,,GD Sunray Cave,51.0,广州富力,1357,左边锋,卢琳,,-,2012-01-01,,,11
86,20,China,中国,,,,Unknown,44.0,长春亚泰,6849,右后卫,李尚,,-,2012-01-01,,,11
87,29,China,中国,,,50.0,上海绿地申花,1249.0,北京北控,33323,门将,董雷,,-,2012-01-01,,,11
88,20,China,中国,,,,Unknown,42.0,北京国安,33328,中后卫,张俊哲,,-,2012-01-01,,,11
89,28,China,中国,,,55.0,杭州绿城,43.0,北京人和,1486,中后卫,吴伟,0,-,2012-01-01,0,0.0,11
90,26,China,中国,,,54.0,上海申鑫,42.0,北京国安,1064,门将,柏小磊,35万,-,2012-01-01,35万,350000.0,11
91,18,China,中国,,,,Xinjiang Haitan,41.0,广州恒大,19488,左边锋,肖开提·亚力昆,1万,-,2012-01-01,1万,12000.0,11
92,22,China,中国,,,215.0,重庆力帆,42.0,北京国安,33429,右边锋,张健,,-,2012-01-01,,,11
93,20,China,中国,,,1451.0,成都天诚,41.0,广州恒大,6744,前腰,彭欣力,35万,-,2012-01-01,35万,350000.0,11
94,23,Brazil,巴西,,,192.0,巴西国际,215.0,重庆力帆,20260,中锋,甘托,,-,2012-01-01,,,11
95,22,China,中国,,,,Unknown,46.0,天津泰达,1182,中锋,周燎,,-,2012-01-01,,,11
96,18,China,中国,,,,Unknown,43.0,北京人和,1086,左后卫,郭胜,,-,2012-01-01,,,11
97,18,China,中国,,,,山东鲁能预备队,49.0,山东鲁能,1295,左中场,刘彬彬,,-,2012-01-01,,,11
98,24,China,中国,出租,,46.0,天津泰达,,SY Zhongze,6692,后腰,范柏群,,-,2012-01-01,,,11
99,18,China,中国,,,,山东鲁能预备队,49.0,山东鲁能,1298,左边锋,吴兴涵,,-,2012-01-01,,,11
100,22,China,中国,,,1451.0,成都天诚,46.0,天津泰达,1196,左边锋,惠家康,0,-,2012-01-01,0,0.0,11
101,20,China,中国,,,41.0,广州恒大,43.0,北京人和,1091,左边锋,杨一虎,12万,-,2012-01-01,12万,120000.0,11
102,24,China,中国,,,,重庆力帆预备队,215.0,重庆力帆,19512,左中场,王帆,,-,2012-01-01,,,11
103,24,China,中国,,,55.0,杭州绿城,41.0,广州恒大,1014,左后卫,荣昊,130万,-,2012-01-01,130万,1300000.0,11
104,26,China,中国,,,48.0,河南建业,47.0,辽宁宏运,1310,后腰,王寿挺,0,-,2012-01-01,0,0.0,11
105,31,Cape Verde,佛得角,,,49.0,山东鲁能,121.0,费雷拉,3424,中后卫,里卡多,0,-,2012-01-01,0,0.0,11
106,26,China,中国,,,53.0,江苏苏宁,52.0,大连一方,6816,左后卫,刘宇,,-,2012-01-01,,,11
