,birth,height,name,nameen,nation,place,position,weight
171,1986年11月15日（31岁）,171,傅一峰,Kenny Poh,无,,中场,63
172,1993年10月11日（24岁）,183,曲珈辰,Qu Jiachen,,,后卫,77
173,1990年12月22日（27岁）,178,郭俊谊,Gabriel Quak,无,,边锋,62
174,1987年10月30日（30岁）,1.64,阿莉-瑞利,Ali Riley,美国,,中场,
175,1990年2月6日（28岁）,185,戴维-罗利,David Rowley,澳大利亚,,中场,
176,1964年3月5日（54岁）,178,徐金成,See Kim Seng,无,,前锋、后卫,75
177,1988年3月6日（30岁）,170,冼国伦,Allan See Kok Luen,无,,中锋,65
178,1993年6月22日（24岁）,178,施恬杰,Byran See,无,,门将,
179,1993年5月7日（24岁）,180,单鹏飞,Shan Pengfei,,,后卫,76
180,1980年4月10日（38岁）,186,邵佳一,Shao Jiayi,,,中场,78
181,1974年11月24日（43岁）,183,艾迪安-萧亚长,Etienne Shew-Atjon,苏里南,,后卫,
182,1991年9月15日（26岁）,1.63,玛蕾娜-沈,Meleana Shim,,,中场,
183,1987年3月2日（31岁）,,沈炜智,Joey Sim,无,,门将,
184,1999年10月15日（18岁）,1.61,萧高进,Javen Siu,香港,,边后卫,
185,1950年7月28日（67岁）,,苏进安,Soh Chin Aun,无,,后卫,
186,1967年11月1日（50岁）,,苏祖麟,Soh Chor Len,无,,后卫,
187,1997年7月5日（20岁）,174,宋孝禹,Song Xiaoyu,,,中场,72
188,1914年3月12日（104岁）,173,弗兰克-区,Frank Soo, （？）,,内锋,
189,1982年9月1日（35岁）,,光华-施特因拉茨,Kwong-Wah Steinraht,,,前锋,
190,1991年1月22日（27岁）,180,孙铂,Sun Bo,,,中场,72
191,1993年9月30日（24岁）,178,孙国文,Sun Guowen,,,中场,71
192,1989年8月26日（28岁）,180,孙可,Sun Ke,,,前锋,70
193,1982年1月15日（36岁）,180,孙祥,Sun Xiang,,,后卫,76
194,1999年2月3日（19岁）,,孙怡朋,"Bernard ""Shinji"" Sun Yipeng",德国,,,
195,1989年4月19日（28岁）,,宋亨利,Henry Sung,中华台北,,前腰,
196,1995年4月24日（22岁）,1.72,覃祥宗,Tam Sheang Tsung,日本,,边前卫,
197,1910年月日（岁）,,陈振发,Tan Chin Hoat,中华民国（？）,,边后卫,
198,1997年5月15日（20岁）,,陈汉伟,Lionel Tan,无,,后卫,
199,1961年5月31日（56岁）,,陈祖仪,Jerry Tan Cho Yee,香港、北马里亚纳群岛,,,
200,1997年3月12日（21岁）,182,陈俊仁,Dominic Tan,新加坡,,后卫、中场,
201,1990年11月10日（27岁）,180,黄文豪,Ernest Wong,马来西亚,,门将,
202,1980年2月6日（38岁）,,陈继晖,Tan Kee-Hoei,,,后卫,
203,1930年7月26日（87岁）,,陈龙虎,Tan Liong Houw,中华民国（？）,,中场,
204,1913年2月28日（105岁）,,陈武兴（暂译）,Tan Mo Heng,中华民国（？）,,门将,
205,1910年月日（岁）,,陈世翰（暂译）,Tan See Han,中华民国（？）,,前锋,
206,1994年5月4日（23岁）,180,陈小龙,Sutanto Tan,无,,前锋,
207,1997年1月19日（21岁）,178,陈永宏,Davidson Tan,无,,后卫,
208,1993年1月23日（25岁）,183,汤传顺,Tang Chuanshun,,,后卫,73
209,1912年月日（岁）,165cm,郑季良,Tay Kwee-liang,中华民国,,前锋,55.3kg
210,1994年1月21日（24岁）,188,安托万-张忠,Antoine Tchang-Tchong,无,,边后卫,
211,1916年1月12日（102岁）,,郑芳仁,The Hong Djien,中华民国（？）,,前锋,
212,年月日（岁）,,张克武,Thio Kek Boo,中华民国（？）,,后卫,
213,1994年1月5日（24岁）,,唐龙,Brian Thong,泰国、越南,,中场,
214,1992年12月1日（25岁）,183,陈善,Daniel Ting,马来西亚,,边后卫,
215,1911年月日（岁）,168,张显源,Tio Hian Goan（Tio Hiang-Guan）,,,前锋,67.1
216,1929年8月28日（88岁）,,张鑫章,Thio Him Tjiang,中华民国（？）,,中场,
217,1962年8月23日（55岁）,,曾亚秀（暂译）,Rick Tjin-Asjoe,苏里南,,后卫,
218,1980年5月23日（37岁）,,杰瑞-张,Jerryl Tjon-En-Fa,无,,前锋,
219,1989年1月4日（29岁）,1.75,雅尼克-大孙,Yannick Tuason,西班牙,,前锋,
220,年月日（岁）,,范柏思孔,L.N.van Beusekom,无,,门将,
221,1981年6月5日（36岁）,182,何塞-维拉罗伯斯,José Villalobos Chan,,,中后卫,
222,1989年1月10日（29岁）,185,王大雷,Wang Dalei,,,门将,75
223,1996年1月12日（22岁）,176,汪晋贤,Wang Jinxian,,,中场,70
224,1925年月日（岁）,,王礼宾,Wáng Lǐbīn,无,,左中卫,
225,1995年10月14日（22岁）,176,王千硕,Wang Qianshuo,,,后卫,70
226,1997年3月18日（21岁）,182,王仁龙,Wang Renlong,,,前锋,74
227,1993年1月9日（25岁）,180,王世鑫,Wang Shixin,,,中场,72
228,1917年月日（岁）,170,王寿先,Wáng ShòuXiān,无,,中后卫、中前卫,
229,1995年1月8日（23岁）,180,王旭东,Wang Xudong,,,后卫,70
230,1995年1月18日（23岁）,183,王耀鹏,Wang Yaopeng,,,后卫,75
231,1922年月日（岁）,176,王政文,Wáng Zhèngwén,无,,右中卫,
232,1994年8月17日（23岁）,174,王子豪（MA50812）,Wang Zihao,,,中场,67
233,1993年5月22日（24岁）,181,王子豪（MA57276）,Wang Zihao,,,后卫,74
234,1998年4月15日（19岁）,180,王毅,Denny Wang Yi,无,,后卫,
235,1991年11月29日（26岁）,180,埃德温-王,Edwin Wang,,,中场,80
236,1990年4月5日（28岁）,,王俊才,Juncai Wang,无,,中场,
237,1994年5月1日（23岁）,180,王敏峥,Pierre Wang,,,中场,
238,1989年2月3日（29岁）,,王喆,Joe Wang Miller,美国,,前锋,
239,1967年3月1日（51岁）,,阿隆-温特,Aron Winter,苏里南,,中场,
240,1965年3月10日（53岁）,,黄文庆,Mike Wong,,,,
241,1979年8月17日（38岁）,179,罗伯特-黄,Roberto Wong Ordeñana,,,中后卫,
242,1947年3月31日（71岁）,,王春华,Wong Choon Wah,无,,中场,
243,1953年4月26日（64岁）,,黄才富,James Wong Chye Fook,无,,前锋、门将,
244,1992年2月27日（26岁）,171,黄家兴,Wong Kah Heng,无,,前锋,
245,1973年4月2日（45岁）,,黄家伦,Wong Kah Loon,无,,中场,
246,1949年3月17日（69岁）,,黄金福,Wong Kam Fook,无,,门将,
247,1978年9月19日（39岁）,1.79,王世光,Wong Sai Kong,无,,中场,
248,1996年9月15日（21岁）,,马修-吴（暂译）,Matthew Woo Ling,无,,中场,
249,1948年2月8日（70岁）,,胡志,Teorodo Wuchi,中华民国（？）,,边锋,
250,1992年8月13日（25岁）,1.57,胡嘉儿,Danica Wu,香港,,中场,
251,1991年11月19日（26岁）,174,武磊,Wu Lei,,,前锋,66
252,1989年2月19日（29岁）,180,吴曦,Wu Xi,,,中场,75
253,1993年1月17日（25岁）,182,解辉,Xie Hui,,,后卫,75
254,1983年9月7日（34岁）,1,许伟华,Jonathan Xu,无,,前锋,
255,1995年5月27日（22岁）,179,闫鹏,Yan Peng,,,前锋,70
256,1981年3月20日（37岁）,182,阎嵩,Yan Song,,,中场,85
257,1989年6月24日（28岁）,185,杨博宇,Yang Boyu,,,后卫,81
258,1995年7月11日（22岁）,172,杨明阳,Ming-yang Yang,无,,中场,64
259,1983年1月15日（35岁）,186,杨智,Yang Zhi,,,门将,79
260,1915年月日（岁）,,叶清荣,Yeap Cheng Eng,,,前锋,
261,1995年1月12日（23岁）,,杨海义,Yeo Hai Ngee,无,,后卫,
262,1974年1月1日（44岁）,1.69米,奥古斯托-叶,Augusto Yep,无,,中场/后卫,
263,1990年5月25日（27岁）,1.72,杨智贤,Yong Che'Sen,马来西亚,,边后卫,
264,1988年9月18日（29岁）,175,杨孔雍,Steve Yong Kuong Yong,无,,边锋,70
265,1988年4月18日（29岁）,182,于大宝,Yu Dabao,,,中场,78
266,1987年2月25日（31岁）,179,于汉超,Yu Hanchao,,,中场,72
267,1995年11月10日（22岁）,177,岳鑫,Yue Xin,,,后卫,70
268,1987年1月8日（31岁）,192,曾诚,Zeng Cheng,,,门将,80
269,1919年7月15日（98岁）,172,张邦纶,Zhāng Bānglún,无,,门将,
270,1989年2月9日（29岁）,184,张呈栋,Zhang Chengdong,,,中场,73
271,1987年11月25日（30岁）,190,张翀,Zhang Chong,,,门将,80
272,1997年2月18日（21岁）,185,张慧,Zhang Hui,,,前锋,75
273,1991年12月9日（26岁）,191,张佳祺,Zhang Jiaqi,,,中场,78
274,1989年5月9日（28岁）,185,张琳芃,Zhang Linpeng,,,后卫,80
275,1987年5月28日（30岁）,177,张文钊,Zhang Wenzhao,,,中场,63
276,1991年1月23日（27岁）,180,张稀哲,Zhang Xizhe,,,中场,65
277,1989年2月28日（29岁）,186,张迅伟,Zhang Xunwei,,,门将,80
278,1995年5月21日（22岁）,176,张振,Zhang Zhen,,,后卫,70
279,1993年1月28日（25岁）,186,张振强,Zhang Zhenqiang,,,门将,77
280,1989年12月4日（28岁）,179,赵宏略,Zhao Honglüe,,,后卫,70
281,1993年1月12日（25岁）,180,赵学斌,Zhao Xuebin,,,前锋,73
282,1989年3月22日（29岁）,175,郑剑峰,Zheng Jianfeng,,,后卫,75
283,1980年8月20日（37岁）,180,郑智,Zheng Zhi,,,中场,75
284,1997年2月12日（21岁）,181,周晨野,Zhou Chenye,,,中场,71
285,1979年2月5日（39岁）,182,周挺,Zhou Ting,,,后卫,76
286,1990年1月12日（28岁）,170,周通,Zhou Tong,,,中场,70
287,1987年10月6日（30岁）,182,朱晓刚,Zhu Xiaogang,,,中场,75
